------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.5 port 39077
[  2] local 10.0.0.1 port 8 connected with 10.0.0.3 port 33782
[  3] local 10.0.0.1 port 8 connected with 10.0.0.2 port 38659
[  4] local 10.0.0.1 port 8 connected with 10.0.0.4 port 48815
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  4] 13.0000-14.0000 sec   732 KBytes  6.00 Mbits/sec   0.368 ms 0/510 (0%)
[  1] 14.0000-15.0000 sec   610 KBytes  5.00 Mbits/sec   0.047 ms 0/425 (0%)
[  2] 14.0000-15.0000 sec   610 KBytes  5.00 Mbits/sec   0.561 ms 0/425 (0%)
[  3] 14.0000-15.0000 sec   856 KBytes  7.01 Mbits/sec   0.358 ms 0/596 (0%)
[  4] 14.0000-15.0000 sec   734 KBytes  6.01 Mbits/sec   0.377 ms 0/511 (0%)
[  1] 15.0000-16.0000 sec   610 KBytes  5.00 Mbits/sec   0.054 ms 0/425 (0%)
[  2] 15.0000-16.0000 sec   610 KBytes  5.00 Mbits/sec   0.482 ms 0/425 (0%)
[  4] 15.0000-16.0000 sec   732 KBytes  6.00 Mbits/sec   0.300 ms 0/510 (0%)
[  3] 15.0000-16.0000 sec   854 KBytes  7.00 Mbits/sec   0.231 ms 0/595 (0%)
[  4] 16.0000-17.0000 sec   732 KBytes  6.00 Mbits/sec   0.388 ms 0/510 (0%)
[  1] 16.0000-17.0000 sec   610 KBytes  5.00 Mbits/sec   0.110 ms 0/425 (0%)
[  2] 16.0000-17.0000 sec   610 KBytes  5.00 Mbits/sec   0.492 ms 0/425 (0%)
[  3] 16.0000-17.0000 sec   854 KBytes  7.00 Mbits/sec   0.263 ms 0/595 (0%)
[  4] 17.0000-18.0000 sec   734 KBytes  6.01 Mbits/sec   0.396 ms 0/511 (0%)
[  1] 17.0000-18.0000 sec   612 KBytes  5.01 Mbits/sec   0.219 ms 0/426 (0%)
[  2] 17.0000-18.0000 sec   610 KBytes  5.00 Mbits/sec   0.698 ms 0/425 (0%)
[  3] 17.0000-18.0000 sec   854 KBytes  7.00 Mbits/sec   0.498 ms 0/595 (0%)
[  1] 18.0000-19.0000 sec   610 KBytes  5.00 Mbits/sec   0.204 ms 0/425 (0%)
[  2] 18.0000-19.0000 sec   612 KBytes  5.01 Mbits/sec   0.482 ms 0/426 (0%)
[  3] 18.0000-19.0000 sec   856 KBytes  7.01 Mbits/sec   0.335 ms 0/596 (0%)
[  4] 18.0000-19.0000 sec   732 KBytes  6.00 Mbits/sec   0.408 ms 0/510 (0%)
[  1] 19.0000-20.0000 sec   610 KBytes  5.00 Mbits/sec   0.100 ms 0/425 (0%)
[  2] 19.0000-20.0000 sec   610 KBytes  5.00 Mbits/sec   0.623 ms 0/425 (0%)
[  3] 19.0000-20.0000 sec   854 KBytes  7.00 Mbits/sec   0.280 ms 0/595 (0%)
[  4] 19.0000-20.0000 sec   732 KBytes  6.00 Mbits/sec   0.285 ms 0/510 (0%)
[  1] 20.0000-21.0000 sec   610 KBytes  5.00 Mbits/sec   0.070 ms 0/425 (0%)
[  2] 20.0000-21.0000 sec   610 KBytes  5.00 Mbits/sec   0.380 ms 0/425 (0%)
[  4] 20.0000-21.0000 sec   732 KBytes  6.00 Mbits/sec   0.313 ms 0/510 (0%)
[  3] 20.0000-21.0000 sec   854 KBytes  7.00 Mbits/sec   0.244 ms 0/595 (0%)
[  1] 21.0000-22.0000 sec   610 KBytes  5.00 Mbits/sec   0.422 ms 0/425 (0%)
[  4] 21.0000-22.0000 sec   732 KBytes  6.00 Mbits/sec   0.496 ms 0/510 (0%)
[  2] 21.0000-22.0000 sec   610 KBytes  5.00 Mbits/sec   0.515 ms 0/425 (0%)
[  3] 21.0000-22.0000 sec   854 KBytes  7.00 Mbits/sec   0.485 ms 0/595 (0%)
[  4] 22.0000-23.0000 sec   734 KBytes  6.01 Mbits/sec   0.334 ms 0/511 (0%)
[  1] 22.0000-23.0000 sec   610 KBytes  5.00 Mbits/sec   0.055 ms 0/425 (0%)
[  2] 22.0000-23.0000 sec   612 KBytes  5.01 Mbits/sec   0.325 ms 0/426 (0%)
[  3] 22.0000-23.0000 sec   856 KBytes  7.01 Mbits/sec   0.239 ms 0/596 (0%)
[  4] 23.0000-24.0000 sec   732 KBytes  6.00 Mbits/sec   0.247 ms 0/510 (0%)
[  1] 23.0000-24.0000 sec   612 KBytes  5.01 Mbits/sec   0.030 ms 0/426 (0%)
[  2] 23.0000-24.0000 sec   610 KBytes  5.00 Mbits/sec   0.562 ms 0/425 (0%)
[  3] 23.0000-24.0000 sec   854 KBytes  7.00 Mbits/sec   0.212 ms 0/595 (0%)
[  1] 24.0000-25.0000 sec   610 KBytes  5.00 Mbits/sec   0.029 ms 0/425 (0%)
[  2] 24.0000-25.0000 sec   610 KBytes  5.00 Mbits/sec   0.474 ms 0/425 (0%)
[  3] 24.0000-25.0000 sec   854 KBytes  7.00 Mbits/sec   0.222 ms 0/595 (0%)
[  4] 24.0000-25.0000 sec   732 KBytes  6.00 Mbits/sec   0.245 ms 0/510 (0%)
[  1] 25.0000-26.0000 sec   610 KBytes  5.00 Mbits/sec   0.028 ms 0/425 (0%)
[  2] 25.0000-26.0000 sec   610 KBytes  5.00 Mbits/sec   0.357 ms 0/425 (0%)
[  4] 25.0000-26.0000 sec   732 KBytes  6.00 Mbits/sec   0.286 ms 0/510 (0%)
[  3] 25.0000-26.0000 sec   854 KBytes  7.00 Mbits/sec   0.266 ms 0/595 (0%)
[  1] 26.0000-27.0000 sec   610 KBytes  5.00 Mbits/sec   0.033 ms 0/425 (0%)
[  4] 26.0000-27.0000 sec   732 KBytes  6.00 Mbits/sec   0.272 ms 0/510 (0%)
[  2] 26.0000-27.0000 sec   610 KBytes  5.00 Mbits/sec   0.449 ms 0/425 (0%)
[  3] 26.0000-27.0000 sec   854 KBytes  7.00 Mbits/sec   0.239 ms 0/595 (0%)
[  4] 27.0000-28.0000 sec   732 KBytes  6.00 Mbits/sec   0.262 ms 0/510 (0%)
[  1] 27.0000-28.0000 sec   610 KBytes  5.00 Mbits/sec   0.040 ms 0/425 (0%)
[  2] 27.0000-28.0000 sec   610 KBytes  5.00 Mbits/sec   0.509 ms 0/425 (0%)
[  3] 27.0000-28.0000 sec   856 KBytes  7.01 Mbits/sec   0.346 ms 0/596 (0%)
[  4] 28.0000-29.0000 sec   731 KBytes  5.99 Mbits/sec   0.355 ms 0/509 (0%)
[  1] 28.0000-29.0000 sec   610 KBytes  5.00 Mbits/sec   0.192 ms 0/425 (0%)
[  2] 28.0000-29.0000 sec   612 KBytes  5.01 Mbits/sec   0.417 ms 0/426 (0%)
[  3] 28.0000-29.0000 sec   853 KBytes  6.99 Mbits/sec   0.324 ms 0/594 (0%)
[  1] 29.0000-30.0000 sec   612 KBytes  5.01 Mbits/sec   0.044 ms 0/426 (0%)
[  2] 29.0000-30.0000 sec   610 KBytes  5.00 Mbits/sec   0.460 ms 0/425 (0%)
[  3] 29.0000-30.0000 sec   856 KBytes  7.01 Mbits/sec   0.265 ms 0/596 (0%)
[  4] 29.0000-30.0000 sec   735 KBytes  6.02 Mbits/sec   0.294 ms 0/512 (0%)
[  1] 30.0000-31.0000 sec   610 KBytes  5.00 Mbits/sec   0.118 ms 0/425 (0%)
[  2] 30.0000-31.0000 sec   610 KBytes  5.00 Mbits/sec   0.587 ms 0/425 (0%)
[  4] 30.0000-31.0000 sec   732 KBytes  6.00 Mbits/sec   0.562 ms 0/510 (0%)
[  3] 30.0000-31.0000 sec   854 KBytes  7.00 Mbits/sec   0.394 ms 0/595 (0%)
[  4] 31.0000-32.0000 sec   732 KBytes  6.00 Mbits/sec   0.370 ms 0/510 (0%)
[  1] 31.0000-32.0000 sec   610 KBytes  5.00 Mbits/sec   0.037 ms 0/425 (0%)
[  2] 31.0000-32.0000 sec   610 KBytes  5.00 Mbits/sec   0.412 ms 0/425 (0%)
[  3] 31.0000-32.0000 sec   856 KBytes  7.01 Mbits/sec   0.212 ms 0/596 (0%)
[  4] 32.0000-33.0000 sec   734 KBytes  6.01 Mbits/sec   0.263 ms 0/511 (0%)
[  1] 32.0000-33.0000 sec   610 KBytes  5.00 Mbits/sec   0.049 ms 0/425 (0%)
[  2] 32.0000-33.0000 sec   610 KBytes  5.00 Mbits/sec   0.505 ms 0/425 (0%)
[  3] 32.0000-33.0000 sec   854 KBytes  7.00 Mbits/sec   0.193 ms 0/595 (0%)
[  4] 33.0000-34.0000 sec   732 KBytes  6.00 Mbits/sec   0.331 ms 0/510 (0%)
[  1] 33.0000-34.0000 sec   610 KBytes  5.00 Mbits/sec   0.165 ms 0/425 (0%)
[  2] 33.0000-34.0000 sec   610 KBytes  5.00 Mbits/sec   0.475 ms 0/425 (0%)
[  3] 33.0000-34.0000 sec   854 KBytes  7.00 Mbits/sec   0.342 ms 0/595 (0%)
[  1] 34.0000-35.0000 sec   610 KBytes  5.00 Mbits/sec   0.033 ms 0/425 (0%)
[  2] 34.0000-35.0000 sec   612 KBytes  5.01 Mbits/sec   0.474 ms 0/426 (0%)
[  3] 34.0000-35.0000 sec   854 KBytes  7.00 Mbits/sec   0.246 ms 0/595 (0%)
[  4] 34.0000-35.0000 sec   732 KBytes  6.00 Mbits/sec   0.269 ms 0/510 (0%)
[  1] 35.0000-36.0000 sec   612 KBytes  5.01 Mbits/sec   0.081 ms 0/426 (0%)
