exec sudo mnexec -a 90368 iperf -s -u -p 8 -i 1 -y C
20250421160141,10.0.0.2,50284,10.0.0.1,8,1,0.0-1.0,1225980,9807840,0.191,4,838,0.477,24
20250421160141,10.0.0.3,49474,10.0.0.1,8,2,0.0-1.0,1280370,10242960,0.085,11,882,1.247,7
20250421160141,10.0.0.7,43709,10.0.0.1,8,3,0.0-1.0,648270,5186160,0.158,2,443,0.451,9
20250421160141,10.0.0.6,55636,10.0.0.1,8,4,0.0-1.0,1159830,9278640,0.353,26,815,3.190,16
20250421160141,10.0.0.5,56368,10.0.0.1,8,5,0.0-1.0,1184820,9478560,0.350,9,815,1.104,16
20250421160141,10.0.0.4,52423,10.0.0.1,8,6,0.0-1.0,1221570,9772560,0.152,33,864,3.819,18
20250421160142,10.0.0.2,50284,10.0.0.1,8,1,1.0-2.0,1196580,9572640,0.106,3,817,0.367,0
20250421160142,10.0.0.7,43709,10.0.0.1,8,3,1.0-2.0,623280,4986240,0.124,1,425,0.235,0
20250421160142,10.0.0.3,49474,10.0.0.1,8,2,1.0-2.0,1248030,9984240,0.097,2,851,0.235,0
20250421160142,10.0.0.6,55636,10.0.0.1,8,4,1.0-2.0,1152480,9219840,0.104,72,856,8.411,0
20250421160142,10.0.0.5,56368,10.0.0.1,8,5,1.0-2.0,1158360,9266880,0.155,67,855,7.836,0
20250421160142,10.0.0.4,52423,10.0.0.1,8,6,1.0-2.0,1199520,9596160,0.078,2,818,0.244,0
20250421160143,10.0.0.2,50284,10.0.0.1,8,1,2.0-3.0,1193640,9549120,0.155,27,839,3.218,0
20250421160143,10.0.0.7,43709,10.0.0.1,8,3,2.0-3.0,623280,4986240,0.285,1,425,0.235,0
20250421160143,10.0.0.3,49474,10.0.0.1,8,2,2.0-3.0,1246560,9972480,0.151,2,850,0.235,0
20250421160143,10.0.0.6,55636,10.0.0.1,8,4,2.0-3.0,1196580,9572640,0.292,23,837,2.748,0
20250421160143,10.0.0.5,56368,10.0.0.1,8,5,2.0-3.0,1190700,9525600,0.299,31,841,3.686,0
20250421160143,10.0.0.4,52423,10.0.0.1,8,6,2.0-3.0,1178940,9431520,0.162,35,837,4.182,0
20250421160144,10.0.0.2,50284,10.0.0.1,8,1,3.0-4.0,1170120,9360960,0.123,50,846,5.910,0
20250421160144,10.0.0.3,49474,10.0.0.1,8,2,3.0-4.0,1248030,9984240,0.143,2,851,0.235,0
20250421160144,10.0.0.6,55636,10.0.0.1,8,4,3.0-4.0,1208340,9666720,0.143,21,843,2.491,0
20250421160144,10.0.0.7,43709,10.0.0.1,8,3,3.0-4.0,620340,4962720,0.237,3,425,0.706,0
20250421160144,10.0.0.4,52423,10.0.0.1,8,6,3.0-4.0,1195110,9560880,0.129,32,845,3.787,0
20250421160144,10.0.0.5,56368,10.0.0.1,8,5,3.0-4.0,1140720,9125760,0.149,63,839,7.509,0
20250421160145,10.0.0.2,50284,10.0.0.1,8,1,4.0-5.0,1155420,9243360,0.082,68,854,7.963,0
20250421160145,10.0.0.3,49474,10.0.0.1,8,2,4.0-5.0,1245090,9960720,0.106,3,850,0.353,0
20250421160145,10.0.0.6,55636,10.0.0.1,8,4,4.0-5.0,1214220,9713760,0.200,38,864,4.398,0
20250421160145,10.0.0.7,43709,10.0.0.1,8,3,4.0-5.0,618870,4950960,0.175,4,425,0.941,0
20250421160145,10.0.0.5,56368,10.0.0.1,8,5,4.0-5.0,1176000,9408000,0.353,62,862,7.193,0
20250421160145,10.0.0.4,52423,10.0.0.1,8,6,4.0-5.0,1208340,9666720,0.153,32,854,3.747,0
20250421160146,10.0.0.2,50284,10.0.0.1,8,1,5.0-6.0,1196580,9572640,0.157,32,846,3.783,0
20250421160146,10.0.0.3,49474,10.0.0.1,8,2,5.0-6.0,1248030,9984240,0.096,1,850,0.118,0
20250421160146,10.0.0.6,55636,10.0.0.1,8,4,5.0-6.0,1133370,9066960,0.148,81,852,9.507,0
20250421160146,10.0.0.7,43709,10.0.0.1,8,3,5.0-6.0,624750,4998000,0.146,1,426,0.235,0
20250421160146,10.0.0.5,56368,10.0.0.1,8,5,5.0-6.0,1158360,9266880,0.131,67,855,7.836,0
20250421160146,10.0.0.4,52423,10.0.0.1,8,6,5.0-6.0,1202460,9619680,0.244,28,846,3.310,0
20250421160147,10.0.0.2,50284,10.0.0.1,8,1,6.0-7.0,1126020,9008160,0.313,57,823,6.926,0
20250421160147,10.0.0.3,49474,10.0.0.1,8,2,6.0-7.0,1246560,9972480,0.147,2,850,0.235,0
20250421160147,10.0.0.7,43709,10.0.0.1,8,3,6.0-7.0,623280,4986240,0.133,1,425,0.235,0
20250421160147,10.0.0.5,56368,10.0.0.1,8,5,6.0-7.0,1177470,9419760,1.867,26,827,3.144,0
20250421160147,10.0.0.6,55636,10.0.0.1,8,4,6.0-7.0,1165710,9325680,0.485,27,820,3.293,0
20250421160147,10.0.0.4,52423,10.0.0.1,8,6,6.0-7.0,1223040,9784320,1.791,45,877,5.131,0
20250421160148,10.0.0.2,50284,10.0.0.1,8,1,7.0-8.0,1155420,9243360,0.138,100,886,11.287,0
20250421160148,10.0.0.3,49474,10.0.0.1,8,2,7.0-8.0,1249500,9996000,0.090,1,851,0.118,0
20250421160148,10.0.0.7,43709,10.0.0.1,8,3,7.0-8.0,624750,4998000,0.233,0,425,0.000,0
20250421160148,10.0.0.6,55636,10.0.0.1,8,4,7.0-8.0,1193640,9549120,0.711,53,865,6.127,0
